URL                                                                 | Module                                             | Name                                                | Decorator
--------------------------------------------------------------------+----------------------------------------------------+-----------------------------------------------------+-
/                                                                   | igs_app_base.session.vw.ImIn                       | session_imin                                        | 
/                                                                   | producto.views.DisclaimerProds                     | session_imin_disclaimer                             | 
/admin/                                                             | django.contrib.admin.sites.index                   | admin:index                                         | 
/admin/<app_label>/                                                 | django.contrib.admin.sites.app_index               | admin:app_list                                      | 
/admin/<url>                                                        | django.contrib.admin.sites.catch_all_view          |                                                     | 
/admin/auth/group/                                                  | django.contrib.admin.options.changelist_view       | admin:auth_group_changelist                         | 
/admin/auth/group/<path:object_id>/                                 | django.views.generic.base.RedirectView             |                                                     | 
/admin/auth/group/<path:object_id>/change/                          | django.contrib.admin.options.change_view           | admin:auth_group_change                             | 
/admin/auth/group/<path:object_id>/delete/                          | django.contrib.admin.options.delete_view           | admin:auth_group_delete                             | 
/admin/auth/group/<path:object_id>/history/                         | django.contrib.admin.options.history_view          | admin:auth_group_history                            | 
/admin/auth/group/add/                                              | django.contrib.admin.options.add_view              | admin:auth_group_add                                | 
/admin/auth/user/                                                   | django.contrib.admin.options.changelist_view       | admin:auth_user_changelist                          | 
/admin/auth/user/<id>/password/                                     | django.contrib.auth.admin.user_change_password     | admin:auth_user_password_change                     | 
/admin/auth/user/<path:object_id>/                                  | django.views.generic.base.RedirectView             |                                                     | 
/admin/auth/user/<path:object_id>/change/                           | django.contrib.admin.options.change_view           | admin:auth_user_change                              | 
/admin/auth/user/<path:object_id>/delete/                           | django.contrib.admin.options.delete_view           | admin:auth_user_delete                              | 
/admin/auth/user/<path:object_id>/history/                          | django.contrib.admin.options.history_view          | admin:auth_user_history                             | 
/admin/auth/user/add/                                               | django.contrib.auth.admin.add_view                 | admin:auth_user_add                                 | 
/admin/autocomplete/                                                | django.contrib.admin.sites.autocomplete_view       | admin:autocomplete                                  | 
/admin/catalogo/opcioncolor/                                        | django.contrib.admin.options.changelist_view       | admin:catalogo_opcioncolor_changelist               | 
/admin/catalogo/opcioncolor/<path:object_id>/                       | django.views.generic.base.RedirectView             |                                                     | 
/admin/catalogo/opcioncolor/<path:object_id>/change/                | django.contrib.admin.options.change_view           | admin:catalogo_opcioncolor_change                   | 
/admin/catalogo/opcioncolor/<path:object_id>/delete/                | django.contrib.admin.options.delete_view           | admin:catalogo_opcioncolor_delete                   | 
/admin/catalogo/opcioncolor/<path:object_id>/history/               | django.contrib.admin.options.history_view          | admin:catalogo_opcioncolor_history                  | 
/admin/catalogo/opcioncolor/add/                                    | django.contrib.admin.options.add_view              | admin:catalogo_opcioncolor_add                      | 
/admin/catalogo/opcionmaterial/                                     | django.contrib.admin.options.changelist_view       | admin:catalogo_opcionmaterial_changelist            | 
/admin/catalogo/opcionmaterial/<path:object_id>/                    | django.views.generic.base.RedirectView             |                                                     | 
/admin/catalogo/opcionmaterial/<path:object_id>/change/             | django.contrib.admin.options.change_view           | admin:catalogo_opcionmaterial_change                | 
/admin/catalogo/opcionmaterial/<path:object_id>/delete/             | django.contrib.admin.options.delete_view           | admin:catalogo_opcionmaterial_delete                | 
/admin/catalogo/opcionmaterial/<path:object_id>/history/            | django.contrib.admin.options.history_view          | admin:catalogo_opcionmaterial_history               | 
/admin/catalogo/opcionmaterial/add/                                 | django.contrib.admin.options.add_view              | admin:catalogo_opcionmaterial_add                   | 
/admin/catalogo/tipocolor/                                          | django.contrib.admin.options.changelist_view       | admin:catalogo_tipocolor_changelist                 | 
/admin/catalogo/tipocolor/<path:object_id>/                         | django.views.generic.base.RedirectView             |                                                     | 
/admin/catalogo/tipocolor/<path:object_id>/change/                  | django.contrib.admin.options.change_view           | admin:catalogo_tipocolor_change                     | 
/admin/catalogo/tipocolor/<path:object_id>/delete/                  | django.contrib.admin.options.delete_view           | admin:catalogo_tipocolor_delete                     | 
/admin/catalogo/tipocolor/<path:object_id>/history/                 | django.contrib.admin.options.history_view          | admin:catalogo_tipocolor_history                    | 
/admin/catalogo/tipocolor/add/                                      | django.contrib.admin.options.add_view              | admin:catalogo_tipocolor_add                        | 
/admin/catalogo/tipomaterial/                                       | django.contrib.admin.options.changelist_view       | admin:catalogo_tipomaterial_changelist              | 
/admin/catalogo/tipomaterial/<path:object_id>/                      | django.views.generic.base.RedirectView             |                                                     | 
/admin/catalogo/tipomaterial/<path:object_id>/change/               | django.contrib.admin.options.change_view           | admin:catalogo_tipomaterial_change                  | 
